xKey,yKey,xValue,yValue,crimeType,numCrimes
Hour,Region,00:00,04. Central Chicago,Financial,311
Hour,Region,01:00,04. Central Chicago,Financial,32
Hour,Region,02:00,04. Central Chicago,Financial,28
Hour,Region,03:00,04. Central Chicago,Financial,17
Hour,Region,04:00,04. Central Chicago,Financial,16
Hour,Region,05:00,04. Central Chicago,Financial,10
Hour,Region,06:00,04. Central Chicago,Financial,16
Hour,Region,07:00,04. Central Chicago,Financial,36
Hour,Region,08:00,04. Central Chicago,Financial,66
Hour,Region,09:00,04. Central Chicago,Financial,131
Hour,Region,10:00,04. Central Chicago,Financial,111
Hour,Region,11:00,04. Central Chicago,Financial,103
Hour,Region,12:00,04. Central Chicago,Financial,201
Hour,Region,13:00,04. Central Chicago,Financial,124
Hour,Region,14:00,04. Central Chicago,Financial,137
Hour,Region,15:00,04. Central Chicago,Financial,135
Hour,Region,16:00,04. Central Chicago,Financial,116
Hour,Region,17:00,04. Central Chicago,Financial,102
Hour,Region,18:00,04. Central Chicago,Financial,76
Hour,Region,19:00,04. Central Chicago,Financial,85
Hour,Region,20:00,04. Central Chicago,Financial,38
Hour,Region,21:00,04. Central Chicago,Financial,38
Hour,Region,22:00,04. Central Chicago,Financial,39
Hour,Region,23:00,04. Central Chicago,Financial,25
Hour,Region,00:00,01. Far North Side,Financial,448
Hour,Region,01:00,01. Far North Side,Financial,29
Hour,Region,02:00,01. Far North Side,Financial,18
Hour,Region,03:00,01. Far North Side,Financial,17
Hour,Region,04:00,01. Far North Side,Financial,8
Hour,Region,05:00,01. Far North Side,Financial,16
Hour,Region,06:00,01. Far North Side,Financial,39
Hour,Region,07:00,01. Far North Side,Financial,44
Hour,Region,08:00,01. Far North Side,Financial,146
Hour,Region,09:00,01. Far North Side,Financial,298
Hour,Region,10:00,01. Far North Side,Financial,163
Hour,Region,11:00,01. Far North Side,Financial,109
Hour,Region,12:00,01. Far North Side,Financial,385
Hour,Region,13:00,01. Far North Side,Financial,141
Hour,Region,14:00,01. Far North Side,Financial,116
Hour,Region,15:00,01. Far North Side,Financial,147
Hour,Region,16:00,01. Far North Side,Financial,127
Hour,Region,17:00,01. Far North Side,Financial,99
Hour,Region,18:00,01. Far North Side,Financial,76
Hour,Region,19:00,01. Far North Side,Financial,65
Hour,Region,20:00,01. Far North Side,Financial,34
Hour,Region,21:00,01. Far North Side,Financial,28
Hour,Region,22:00,01. Far North Side,Financial,40
Hour,Region,23:00,01. Far North Side,Financial,17
Hour,Region,00:00,09. Far Southeast Side,Financial,250
Hour,Region,01:00,09. Far Southeast Side,Financial,9
Hour,Region,02:00,09. Far Southeast Side,Financial,8
Hour,Region,03:00,09. Far Southeast Side,Financial,4
Hour,Region,04:00,09. Far Southeast Side,Financial,5
Hour,Region,05:00,09. Far Southeast Side,Financial,11
Hour,Region,06:00,09. Far Southeast Side,Financial,17
Hour,Region,07:00,09. Far Southeast Side,Financial,29
Hour,Region,08:00,09. Far Southeast Side,Financial,63
Hour,Region,09:00,09. Far Southeast Side,Financial,148
Hour,Region,10:00,09. Far Southeast Side,Financial,85
Hour,Region,11:00,09. Far Southeast Side,Financial,60
Hour,Region,12:00,09. Far Southeast Side,Financial,161
Hour,Region,13:00,09. Far Southeast Side,Financial,68
Hour,Region,14:00,09. Far Southeast Side,Financial,80
Hour,Region,15:00,09. Far Southeast Side,Financial,61
Hour,Region,16:00,09. Far Southeast Side,Financial,54
Hour,Region,17:00,09. Far Southeast Side,Financial,46
Hour,Region,18:00,09. Far Southeast Side,Financial,44
Hour,Region,19:00,09. Far Southeast Side,Financial,31
Hour,Region,20:00,09. Far Southeast Side,Financial,36
Hour,Region,21:00,09. Far Southeast Side,Financial,17
Hour,Region,22:00,09. Far Southeast Side,Financial,11
Hour,Region,23:00,09. Far Southeast Side,Financial,14
Hour,Region,00:00,08. Far Southwest Side,Financial,210
Hour,Region,01:00,08. Far Southwest Side,Financial,6
Hour,Region,02:00,08. Far Southwest Side,Financial,8
Hour,Region,03:00,08. Far Southwest Side,Financial,2
Hour,Region,04:00,08. Far Southwest Side,Financial,1
Hour,Region,05:00,08. Far Southwest Side,Financial,4
Hour,Region,06:00,08. Far Southwest Side,Financial,9
Hour,Region,07:00,08. Far Southwest Side,Financial,14
Hour,Region,08:00,08. Far Southwest Side,Financial,34
Hour,Region,09:00,08. Far Southwest Side,Financial,102
Hour,Region,10:00,08. Far Southwest Side,Financial,57
Hour,Region,11:00,08. Far Southwest Side,Financial,50
Hour,Region,12:00,08. Far Southwest Side,Financial,148
Hour,Region,13:00,08. Far Southwest Side,Financial,39
Hour,Region,14:00,08. Far Southwest Side,Financial,57
Hour,Region,15:00,08. Far Southwest Side,Financial,59
Hour,Region,16:00,08. Far Southwest Side,Financial,45
Hour,Region,17:00,08. Far Southwest Side,Financial,33
Hour,Region,18:00,08. Far Southwest Side,Financial,30
Hour,Region,19:00,08. Far Southwest Side,Financial,22
Hour,Region,20:00,08. Far Southwest Side,Financial,7
Hour,Region,21:00,08. Far Southwest Side,Financial,9
Hour,Region,22:00,08. Far Southwest Side,Financial,7
Hour,Region,23:00,08. Far Southwest Side,Financial,10
Hour,Region,00:00,03. North Side,Financial,260
Hour,Region,01:00,03. North Side,Financial,20
Hour,Region,02:00,03. North Side,Financial,20
Hour,Region,03:00,03. North Side,Financial,13
Hour,Region,04:00,03. North Side,Financial,13
Hour,Region,05:00,03. North Side,Financial,15
Hour,Region,06:00,03. North Side,Financial,10
Hour,Region,07:00,03. North Side,Financial,25
Hour,Region,08:00,03. North Side,Financial,55
Hour,Region,09:00,03. North Side,Financial,136
Hour,Region,10:00,03. North Side,Financial,112
Hour,Region,11:00,03. North Side,Financial,96
Hour,Region,12:00,03. North Side,Financial,204
Hour,Region,13:00,03. North Side,Financial,98
Hour,Region,14:00,03. North Side,Financial,86
Hour,Region,15:00,03. North Side,Financial,74
Hour,Region,16:00,03. North Side,Financial,62
Hour,Region,17:00,03. North Side,Financial,71
Hour,Region,18:00,03. North Side,Financial,59
Hour,Region,19:00,03. North Side,Financial,44
Hour,Region,20:00,03. North Side,Financial,43
Hour,Region,21:00,03. North Side,Financial,22
Hour,Region,22:00,03. North Side,Financial,29
Hour,Region,23:00,03. North Side,Financial,23
Hour,Region,00:00,02. Northwest Side,Financial,254
Hour,Region,01:00,02. Northwest Side,Financial,9
Hour,Region,02:00,02. Northwest Side,Financial,6
Hour,Region,03:00,02. Northwest Side,Financial,4
Hour,Region,04:00,02. Northwest Side,Financial,7
Hour,Region,05:00,02. Northwest Side,Financial,3
Hour,Region,06:00,02. Northwest Side,Financial,8
Hour,Region,07:00,02. Northwest Side,Financial,18
Hour,Region,08:00,02. Northwest Side,Financial,31
Hour,Region,09:00,02. Northwest Side,Financial,177
Hour,Region,10:00,02. Northwest Side,Financial,67
Hour,Region,11:00,02. Northwest Side,Financial,79
Hour,Region,12:00,02. Northwest Side,Financial,235
Hour,Region,13:00,02. Northwest Side,Financial,62
Hour,Region,14:00,02. Northwest Side,Financial,66
Hour,Region,15:00,02. Northwest Side,Financial,57
Hour,Region,16:00,02. Northwest Side,Financial,46
Hour,Region,17:00,02. Northwest Side,Financial,45
Hour,Region,18:00,02. Northwest Side,Financial,31
Hour,Region,19:00,02. Northwest Side,Financial,32
Hour,Region,20:00,02. Northwest Side,Financial,15
Hour,Region,21:00,02. Northwest Side,Financial,17
Hour,Region,22:00,02. Northwest Side,Financial,10
Hour,Region,23:00,02. Northwest Side,Financial,12
Hour,Region,00:00,07. South Side,Financial,351
Hour,Region,01:00,07. South Side,Financial,15
Hour,Region,02:00,07. South Side,Financial,11
Hour,Region,03:00,07. South Side,Financial,9
Hour,Region,04:00,07. South Side,Financial,10
Hour,Region,05:00,07. South Side,Financial,9
Hour,Region,06:00,07. South Side,Financial,21
Hour,Region,07:00,07. South Side,Financial,32
Hour,Region,08:00,07. South Side,Financial,80
Hour,Region,09:00,07. South Side,Financial,138
Hour,Region,10:00,07. South Side,Financial,105
Hour,Region,11:00,07. South Side,Financial,88
Hour,Region,12:00,07. South Side,Financial,164
Hour,Region,13:00,07. South Side,Financial,86
Hour,Region,14:00,07. South Side,Financial,83
Hour,Region,15:00,07. South Side,Financial,98
Hour,Region,16:00,07. South Side,Financial,67
Hour,Region,17:00,07. South Side,Financial,84
Hour,Region,18:00,07. South Side,Financial,38
Hour,Region,19:00,07. South Side,Financial,49
Hour,Region,20:00,07. South Side,Financial,23
Hour,Region,21:00,07. South Side,Financial,25
Hour,Region,22:00,07. South Side,Financial,14
Hour,Region,23:00,07. South Side,Financial,13
Hour,Region,00:00,06. Southwest Side,Financial,323
Hour,Region,01:00,06. Southwest Side,Financial,15
Hour,Region,02:00,06. Southwest Side,Financial,13
Hour,Region,03:00,06. Southwest Side,Financial,12
Hour,Region,04:00,06. Southwest Side,Financial,4
Hour,Region,05:00,06. Southwest Side,Financial,8
Hour,Region,06:00,06. Southwest Side,Financial,10
Hour,Region,07:00,06. Southwest Side,Financial,36
Hour,Region,08:00,06. Southwest Side,Financial,87
Hour,Region,09:00,06. Southwest Side,Financial,190
Hour,Region,10:00,06. Southwest Side,Financial,96
Hour,Region,11:00,06. Southwest Side,Financial,83
Hour,Region,12:00,06. Southwest Side,Financial,271
Hour,Region,13:00,06. Southwest Side,Financial,116
Hour,Region,14:00,06. Southwest Side,Financial,93
Hour,Region,15:00,06. Southwest Side,Financial,110
Hour,Region,16:00,06. Southwest Side,Financial,70
Hour,Region,17:00,06. Southwest Side,Financial,91
Hour,Region,18:00,06. Southwest Side,Financial,53
Hour,Region,19:00,06. Southwest Side,Financial,48
Hour,Region,20:00,06. Southwest Side,Financial,25
Hour,Region,21:00,06. Southwest Side,Financial,24
Hour,Region,22:00,06. Southwest Side,Financial,18
Hour,Region,23:00,06. Southwest Side,Financial,21
Hour,Region,00:00,05. West Side,Financial,527
Hour,Region,01:00,05. West Side,Financial,26
Hour,Region,02:00,05. West Side,Financial,22
Hour,Region,03:00,05. West Side,Financial,11
Hour,Region,04:00,05. West Side,Financial,14
Hour,Region,05:00,05. West Side,Financial,18
Hour,Region,06:00,05. West Side,Financial,25
Hour,Region,07:00,05. West Side,Financial,58
Hour,Region,08:00,05. West Side,Financial,132
Hour,Region,09:00,05. West Side,Financial,255
Hour,Region,10:00,05. West Side,Financial,196
Hour,Region,11:00,05. West Side,Financial,150
Hour,Region,12:00,05. West Side,Financial,400
Hour,Region,13:00,05. West Side,Financial,181
Hour,Region,14:00,05. West Side,Financial,143
Hour,Region,15:00,05. West Side,Financial,144
Hour,Region,16:00,05. West Side,Financial,149
Hour,Region,17:00,05. West Side,Financial,125
Hour,Region,18:00,05. West Side,Financial,102
Hour,Region,19:00,05. West Side,Financial,68
Hour,Region,20:00,05. West Side,Financial,67
Hour,Region,21:00,05. West Side,Financial,45
Hour,Region,22:00,05. West Side,Financial,28
Hour,Region,23:00,05. West Side,Financial,32
Day of week,Region,07. Sun,04. Central Chicago,Financial,221
Day of week,Region,01. Mon,04. Central Chicago,Financial,273
Day of week,Region,02. Tue,04. Central Chicago,Financial,301
Day of week,Region,03. Wed,04. Central Chicago,Financial,264
Day of week,Region,04. Thu,04. Central Chicago,Financial,290
Day of week,Region,05. Fri,04. Central Chicago,Financial,338
Day of week,Region,06. Sat,04. Central Chicago,Financial,306
Day of week,Region,07. Sun,01. Far North Side,Financial,232
Day of week,Region,01. Mon,01. Far North Side,Financial,437
Day of week,Region,02. Tue,01. Far North Side,Financial,412
Day of week,Region,03. Wed,01. Far North Side,Financial,425
Day of week,Region,04. Thu,01. Far North Side,Financial,416
Day of week,Region,05. Fri,01. Far North Side,Financial,448
Day of week,Region,06. Sat,01. Far North Side,Financial,240
Day of week,Region,07. Sun,09. Far Southeast Side,Financial,94
Day of week,Region,01. Mon,09. Far Southeast Side,Financial,202
Day of week,Region,02. Tue,09. Far Southeast Side,Financial,215
Day of week,Region,03. Wed,09. Far Southeast Side,Financial,203
Day of week,Region,04. Thu,09. Far Southeast Side,Financial,219
Day of week,Region,05. Fri,09. Far Southeast Side,Financial,234
Day of week,Region,06. Sat,09. Far Southeast Side,Financial,145
Day of week,Region,07. Sun,08. Far Southwest Side,Financial,76
Day of week,Region,01. Mon,08. Far Southwest Side,Financial,135
Day of week,Region,02. Tue,08. Far Southwest Side,Financial,173
Day of week,Region,03. Wed,08. Far Southwest Side,Financial,147
Day of week,Region,04. Thu,08. Far Southwest Side,Financial,168
Day of week,Region,05. Fri,08. Far Southwest Side,Financial,159
Day of week,Region,06. Sat,08. Far Southwest Side,Financial,105
Day of week,Region,07. Sun,03. North Side,Financial,154
Day of week,Region,01. Mon,03. North Side,Financial,230
Day of week,Region,02. Tue,03. North Side,Financial,249
Day of week,Region,03. Wed,03. North Side,Financial,236
Day of week,Region,04. Thu,03. North Side,Financial,242
Day of week,Region,05. Fri,03. North Side,Financial,271
Day of week,Region,06. Sat,03. North Side,Financial,208
Day of week,Region,07. Sun,02. Northwest Side,Financial,101
Day of week,Region,01. Mon,02. Northwest Side,Financial,209
Day of week,Region,02. Tue,02. Northwest Side,Financial,204
Day of week,Region,03. Wed,02. Northwest Side,Financial,204
Day of week,Region,04. Thu,02. Northwest Side,Financial,218
Day of week,Region,05. Fri,02. Northwest Side,Financial,205
Day of week,Region,06. Sat,02. Northwest Side,Financial,150
Day of week,Region,07. Sun,07. South Side,Financial,127
Day of week,Region,01. Mon,07. South Side,Financial,275
Day of week,Region,02. Tue,07. South Side,Financial,249
Day of week,Region,03. Wed,07. South Side,Financial,250
Day of week,Region,04. Thu,07. South Side,Financial,243
Day of week,Region,05. Fri,07. South Side,Financial,274
Day of week,Region,06. Sat,07. South Side,Financial,195
Day of week,Region,07. Sun,06. Southwest Side,Financial,131
Day of week,Region,01. Mon,06. Southwest Side,Financial,306
Day of week,Region,02. Tue,06. Southwest Side,Financial,292
Day of week,Region,03. Wed,06. Southwest Side,Financial,304
Day of week,Region,04. Thu,06. Southwest Side,Financial,303
Day of week,Region,05. Fri,06. Southwest Side,Financial,265
Day of week,Region,06. Sat,06. Southwest Side,Financial,216
Day of week,Region,07. Sun,05. West Side,Financial,252
Day of week,Region,01. Mon,05. West Side,Financial,439
Day of week,Region,02. Tue,05. West Side,Financial,468
Day of week,Region,03. Wed,05. West Side,Financial,485
Day of week,Region,04. Thu,05. West Side,Financial,456
Day of week,Region,05. Fri,05. West Side,Financial,479
Day of week,Region,06. Sat,05. West Side,Financial,339
Month,Region,01. Jan,04. Central Chicago,Financial,156
Month,Region,02. Feb,04. Central Chicago,Financial,117
Month,Region,03. Mar,04. Central Chicago,Financial,143
Month,Region,04. Apr,04. Central Chicago,Financial,141
Month,Region,05. May,04. Central Chicago,Financial,169
Month,Region,06. Jun,04. Central Chicago,Financial,187
Month,Region,07. Jul,04. Central Chicago,Financial,190
Month,Region,08. Aug,04. Central Chicago,Financial,187
Month,Region,09. Sep,04. Central Chicago,Financial,180
